date,close_last,volume,open,high,low
8/19/22,9.26,13783770,9.85,9.88,9.19
8/18/22,10.17,9525442,10.33,10.42,9.94
8/17/22,10.42,9287033,10.75,10.82,10.31
8/16/22,10.9,20413430,11.03,11.59,10.62
8/15/22,11.01,7086896,10.79,11.19,10.79
8/12/22,10.93,7333567,10.65,10.93,10.43
8/11/22,10.51,14229970,11.01,11.3,10.51
8/10/22,10.58,11168660,10.51,10.66,10.16
8/9/22,10.1,8266029,10.47,10.51,10
8/8/22,10.68,13033180,10.52,10.91,10.28
8/5/22,10.4,17288100,10.42,10.62,9.94
8/4/22,10.88,27870330,10.97,11.35,10.26
8/3/22,10.31,37485670,9.4,10.76,9.4
8/2/22,9.23,11339200,8.81,9.33,8.79
8/1/22,9.04,9478573,8.94,9.04,8.71
7/29/22,9.05,7679156,9.01,9.15,8.91
7/28/22,9.11,7384838,8.89,9.18,8.58
7/27/22,8.9,6037011,8.63,8.93,8.49
7/26/22,8.43,7255431,8.71,8.73,8.37
7/25/22,8.89,5470127,9.03,9.03,8.74
7/22/22,9.08,8296321,9.45,9.5,8.94
7/21/22,9.41,7446578,9.34,9.5,9.2
7/20/22,9.41,10889270,9.03,9.44,8.96
7/19/22,9.03,10444010,8.73,9.07,8.7
7/18/22,8.62,9070927,8.63,8.84,8.56
7/15/22,8.41,10206060,8.3,8.42,8.1
7/14/22,8.24,8006959,8.29,8.35,8.05
7/13/22,8.36,8250618,8.2,8.47,8.08
7/12/22,8.4,11153520,8.36,8.52,8.1
7/11/22,8.34,10191390,8.86,8.94,8.29
7/8/22,9,9873567,8.85,9.25,8.76
7/7/22,9.02,12394430,8.62,9.02,8.49
7/6/22,8.63,14051330,8.44,8.8,8.26
7/5/22,8.4,12885340,8.02,8.44,7.78
7/1/22,8.18,10408950,8.22,8.4,8.02
6/30/22,8.22,13039410,8.43,8.51,8.06
6/29/22,8.47,12722090,8.52,8.82,8.44
6/28/22,8.87,34601290,9.06,9.3,8.77
6/27/22,9.12,73442380,8.12,9.72,7.82
6/24/22,8,60504160,8.08,8.38,7.84
6/23/22,7.98,16915780,7.75,8.07,7.61
6/22/22,7.49,15393810,7.3,7.73,7.28
6/21/22,7.55,19619920,7.35,8.02,7.35
6/17/22,7.19,18196680,6.84,7.22,6.84
6/16/22,6.89,21709320,6.94,7.14,6.81
6/15/22,7.05,32870960,7.04,7.21,6.87
6/14/22,7.23,16209800,7.24,7.48,7.1
6/13/22,7.23,27700920,7.3,7.48,7.02
6/10/22,7.81,21966950,7.74,8.12,7.61
6/9/22,8.03,19896550,8.29,8.43,8
6/8/22,8.38,32988700,8.66,8.93,8.23
6/7/22,8.72,31787730,8.73,8.8,8.25
6/6/22,9.11,24087680,9.26,9.8,9.05
6/3/22,9.17,13193820,9.38,9.45,9.05
6/2/22,9.7,13422650,9.29,9.72,9.15
6/1/22,9.37,21328630,9.96,10.01,9.22
5/31/22,10.06,24393250,10.26,10.55,9.99
